id,name,dataTypeName,fieldName,position,renderTypeName,tableColumnId,width,cachedContents/non_null,cachedContents/smallest,cachedContents/null,cachedContents/largest,cachedContents/top/0/count,cachedContents/top/0/item,cachedContents/top/1/count,cachedContents/top/1/item,cachedContents/top/2/count,cachedContents/top/2/item,cachedContents/top/3/count,cachedContents/top/3/item,cachedContents/top/4/count,cachedContents/top/4/item,cachedContents/top/5/count,cachedContents/top/5/item,cachedContents/top/6/count,cachedContents/top/6/item,cachedContents/top/7/count,cachedContents/top/7/item,cachedContents/top/8/count,cachedContents/top/8/item,cachedContents/top/9/count,cachedContents/top/9/item,cachedContents/top/10/count,cachedContents/top/10/item,cachedContents/top/11/count,cachedContents/top/11/item,cachedContents/top/12/count,cachedContents/top/12/item,cachedContents/top/13/count,cachedContents/top/13/item,cachedContents/top/14/count,cachedContents/top/14/item,cachedContents/top/15/count,cachedContents/top/15/item,cachedContents/top/16/count,cachedContents/top/16/item,cachedContents/top/17/count,cachedContents/top/17/item,cachedContents/top/18/count,cachedContents/top/18/item,cachedContents/top/19/count,cachedContents/top/19/item,format/align,cachedContents/sum,cachedContents/average,format/precisionStyle,format/noCommas,cachedContents/smallest/longitude,cachedContents/smallest/latitude,cachedContents/smallest/human_address,cachedContents/largest/longitude,cachedContents/largest/latitude,cachedContents/largest/human_address,cachedContents/top/0/item/longitude,cachedContents/top/0/item/latitude,cachedContents/top/0/item/human_address,cachedContents/top/1/item/longitude,cachedContents/top/1/item/latitude,cachedContents/top/1/item/human_address,cachedContents/top/2/item/longitude,cachedContents/top/2/item/latitude,cachedContents/top/2/item/human_address,cachedContents/top/3/item/longitude,cachedContents/top/3/item/latitude,cachedContents/top/3/item/human_address,subColumnTypes/0,subColumnTypes/1,subColumnTypes/2,subColumnTypes/3,subColumnTypes/4
-1,sid,meta_data,:sid,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,id,meta_data,:id,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,position,meta_data,:position,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,created_at,meta_data,:created_at,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,created_meta,meta_data,:created_meta,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,updated_at,meta_data,:updated_at,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,updated_meta,meta_data,:updated_meta,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,meta,meta_data,:meta,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118909,ticket_id,text,ticket_id,1,text,22400366,130,127391,101000000348,0,101000423570,20,101000423052,19,101000423089,18,101000423553,17,101000422518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118910,secondary_issue_type,text,secondary_issue_type,2,text,22400367,207,0,,127391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
