id,name,dataTypeName,fieldName,position,renderTypeName,tableColumnId,width,cachedContents/non_null,cachedContents/smallest,cachedContents/null,cachedContents/largest,cachedContents/top/0/count,cachedContents/top/0/item,cachedContents/top/1/count,cachedContents/top/1/item,cachedContents/top/2/count,cachedContents/top/2/item,cachedContents/top/3/count,cachedContents/top/3/item,cachedContents/top/4/count,cachedContents/top/4/item,cachedContents/top/5/count,cachedContents/top/5/item,cachedContents/top/6/count,cachedContents/top/6/item,cachedContents/top/7/count,cachedContents/top/7/item,cachedContents/top/8/count,cachedContents/top/8/item,cachedContents/top/9/count,cachedContents/top/9/item,cachedContents/top/10/count,cachedContents/top/10/item,cachedContents/top/11/count,cachedContents/top/11/item,cachedContents/top/12/count,cachedContents/top/12/item,cachedContents/top/13/count,cachedContents/top/13/item,cachedContents/top/14/count,cachedContents/top/14/item,cachedContents/top/15/count,cachedContents/top/15/item,cachedContents/top/16/count,cachedContents/top/16/item,cachedContents/top/17/count,cachedContents/top/17/item,cachedContents/top/18/count,cachedContents/top/18/item,cachedContents/top/19/count,cachedContents/top/19/item,cachedContents/sum,cachedContents/average,rdfProperties,format/rdf,format/precisionStyle,format/align,format/noCommas
-1,sid,meta_data,:sid,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,id,meta_data,:id,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,position,meta_data,:position,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,created_at,meta_data,:created_at,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,created_meta,meta_data,:created_meta,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,updated_at,meta_data,:updated_at,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,updated_meta,meta_data,:updated_meta,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,meta,meta_data,:meta,0,meta_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211249817,NOPD_Item,text,nopd_item,2,text,29468311,208,2138448,A-00001-11,0,L-46310-11,20,F-36172-15,19,F-36173-15,18,F-36174-15,17,F-36175-15,16,F-36176-15,15,F-36177-15,14,F-36178-15,13,F-36179-15,12,F-36180-15,11,F-36181-15,10,F-36182-15,,,,,,,,,,,,,,,,,,,,,,,,,
211249818,Type_,text,type_,3,text,29468312,160,2138448,100,0,WALK,20,17M,19,17F,18,18,17,21,16,94,15,107,14,56,13,20,12,103,11,24,10,62A,9,103F,8,67A,7,35,6,100,5,911,4,21L,3,103D,2,35D,1,20I,,,,,,,
211249819,TypeText,text,typetext,4,text,29468313,196,2138448,ABANDONED BOAT,0,WRECKLESS DRIVING,20,FUGITIVE ATTTACHMENT,19,TRAFFIC  INCIDENT,18,COMPLAINT OTHER,17,SUSPICIOUS PERSON,16,AUTO ACCIDENT,15,DISTURBANCE (OTHER),14,BURGLAR ALARM,13,FIGHT,12,AUTO THEFT,11,HIT & RUN,10,LOST OR STOLEN,9,DOMESTIC DISTURBANCE,8,THEFT,7,MENTAL PATIENT,6,TRAFFIC INCIDENT,5,FUGITIVE ATTACHMENT,4,MUNICIPAL ATTACHMENT,3,MEDICAL,2,NOISE COMPLAINT,1,RETURN FOR ADDITIONAL INFO,,,,,,,
211249820,MapX,number,mapx,5,number,29468314,148,2138448,0,0,37369000,20,37369000,19,3685237,18,3692647,17,3681881,16,3698595,15,3675085,14,3673975,13,3703847,12,3687361,11,3672247,10,3706428,9,3726776,8,3719160,7,3705341,6,3662467,5,3702788,4,3674193,3,3674286,2,3677159,1,3667278,8457213066201,3954836.903306043,,,,,
211249821,MapY,number,mapy,6,number,29468315,148,2138448,0,0,3513814,20,3513814,19,538545,18,550215,17,531497,16,519112,15,525962,14,527164,13,510447,12,530817,11,530637,10,562191,9,557002,8,558586,7,557778,6,531511,5,555081,4,533638,3,524479,2,537514,1,534144,1193063310089,557910.8353764038,,,,,
